team_id,team_name,field_id,field_name,address,city,lat,lon,geocode_query,precision
2473,הפ' חיפה רובי,1238,קרית חיים בית נגלר מזרחי (אתוס לשעבר),אברהם דנינו 6 חיפה,חיפה,32.8181708,35.066066,אברהם דנינו 6 חיפה,street
2475,הפועל עכו,21,עכו אצטדיון טוטו,משמר הים עכו,עכו,32.92814,35.07647,עכו,locality
2479,"הפ' כפ""ס ישראל",345,כפר סבא אימונים עליון,התוכנה 9 כפר סבא,כפר סבא,32.177971,34.9258419,התוכנה 9 כפר סבא,street
2488,"הפועל קרית אונו ""אלכס גל און""",28,קרית אונו ישן,קפלן 56 קרית אונו,קרית אונו,32.0627851,34.851488,קפלן 56 קרית אונו,street
2489,"הפ' פ""ת נחום סטלמך",1111,פתח תקוה אצטדיון שלמה ביטוח,דרך אם המושבות פתח תקווה,פתח תקווה,32.100294,34.850965,דרך אם המושבות פתח תקווה,street
2494,"הפועל כפ""ס אילן",345,כפר סבא אימונים עליון,התוכנה 9 כפר סבא,כפר סבא,32.177971,34.9258419,התוכנה 9 כפר סבא,street
2497,"הפועל כפ""ס ""יונגר""",282,כפר סבא אימונים תחתון (סינטטי),התוכנה 9 כפר סבא,כפר סבא,32.177971,34.9258419,התוכנה 9 כפר סבא,street
2500,"הפועל ר""ג 'רוני נכטיילר'",181,רמת גן השקמה,אחד העם 8 רמת גן,רמת גן,32.08227,34.81065,רמת גן,locality
2502,מכבי כנות,583,כנות,כנות,כנות,31.8026404,34.752375,כנות,street
2524,הפועל מגדל העמק,54,מגדל העמק,האיצטדיון 1 מגדל העמק,מגדל העמק,32.6701517,35.2381416,האיצטדיון 1 מגדל העמק,street
2532,מכבי בני ריינה,1291,ריינה סינטטי,ריינה,ריינה,32.723612,35.312492,ריינה,street
2551,הפ' מ.ס. חבל מודיעין,1153,כפר בן שמן,בן שמן,בן שמן,31.9522788,34.921944,בן שמן,street
2552,הפועל חדרה מערב,1264,חדרה רמדה,שדרות רחבעם זאבי 2 חדרה,חדרה,32.435925,34.878644,שדרות רחבעם זאבי  חדרה,street
2555,הפ' בארי אשכול,132,נופי הבשור מועצה אזורית אשכול,מגן,מגן,31.2990681,34.4289248,מגן,street
2563,מ.כ. בני רעננה,363,רעננה פארק צפוני סינטטי,מרטין דרוקר רעננה,רעננה,32.1933115,34.8463327,מרטין דרוקר רעננה,street
